Brand	Outside model	Inside model	Furnace model	HSPF (Region IV)	Rated heating capacity (Btu/hour)	Grant amount	AHRI / Verification reference	AHRI Classification	Series name/product line (if applicable)	SEER	Rated cooling capacity (Btu/hour)	Coefficient of Performance (COP) at -15 °C (5 °F) (at maximum capacity)	Capacity Maintenance %  (Max -15°C/5°F ÷ Rated 8.3°C/47°F)
FRIGIDAIRE	FFHP183CS2	FFHP183WS2		10	8806	$2,500:  2 indoor heads; $5,000:  >=3 indoor heads	8718585	HRCU-A-CB-O		20		1.84	186
PANASONIC	CU-E9SD3UA	CS-E9SD3UAW		10	9000	$2,500:  2 indoor heads; $5,000:  >=3 indoor heads	9125308	HRCU-A-CB	Low-Profile Ducted	20.5	9000	2.06	86
PERFECT AIRE	3PAMSHQCO09	3PAMSHQCW09		10	9500	$2,500:  2 indoor heads; $5,000:  >=3 indoor heads	205653641	HRCU-A-CB-O		19.5	9000	2.08	78
DENALI AIRE	DNMSHQCO9A	DNMSHQCW9A		10	9500	$2,500:  2 indoor heads; $5,000:  >=3 indoor heads	205300163	HRCU-A-CB-O		19.5	9000	2.08	78
FRIEDRICH	FPHSR09A1A-A	FPHSW09A1B		10	9500	$2,500:  2 indoor heads; $5,000:  >=3 indoor heads	205142781	HRCU-A-CB-O	Floating Air Pro	19.5	9000	2.08	78
FRIEDRICH	FPHSR09A1A	FPHSW09A1A		10	9500	$2,500:  2 indoor heads; $5,000:  >=3 indoor heads	203383867	HRCU-A-CB-O	Floating Air Pro	19.5	9000	2.08	78
TRANE	4TXK2709A10N0AA	4MXW2709A10N0AA		10	9800	$2,500:  2 indoor heads; $5,000:  >=3 indoor heads	7151531	HRCU-A-CB-O		27	9000	2.13	81
AMERICAN STANDARD	4TXK2709A10N0AA	4MXW2709A10N0AA		10	9800	$2,500:  2 indoor heads; $5,000:  >=3 indoor heads	7151530	HRCU-A-CB-O		27	9000	2.13	81
KINGHOME	KW09HTBA3DO	KW09HTBA3DI		10	9800	$2,500:  2 indoor heads; $5,000:  >=3 indoor heads	10338157	HRCU-A-CB-O		27	9000	2.13	81
BRYANT	38MAQB12R--3	FV4CNF002		10	10400	$5,000	204344194	HRCU-A-CB	Preferred Series	18	11200	2.16	112
PAYNE	38MAQB12R--3	FV4CNF002		10	10400	$5,000	204344199	HRCU-A-CB	Mid-tier	18	11200	2.16	112
CARRIER	38MAQB12R--3	FV4CNF002		10	10400	$5,000	204344189	HRCU-A-CB	Performance Series	18	11200	2.16	112
MITSUBISHI ELECTRIC	MUZ-FE09NAH	MSZ-FE09NA		10	10900	$2,500:  2 indoor heads; $5,000:  >=3 indoor heads	201754425	HRCU-A-CB-O	M-Series	26	9000	2.06	102
PANASONIC	CU-E12SD3UA	CS-E12SD3UAW		10	11500	$2,500:  2 indoor heads; $5,000:  >=3 indoor heads	9125309	HRCU-A-CB	Low-Profile Ducted	20	11500	1.85	83
AIRQUEST	DLCSRAH12AAK	DLFSHBH12XAK		10	12000	$2,500:  2 indoor heads; $5,000:  >=3 indoor heads	206396159	HRCU-A-CB-O	QuietComfort	21	12000	1.89	172
MIDEA	DLCSRAH12AAK	DLFSHBH12XAK		10	12000	$2,500:  2 indoor heads; $5,000:  >=3 indoor heads	206396129	HRCU-A-CB-O	Excel	21	12000	1.89	172
C&H	CH-12SPH-230VO	CH-12MSPHMC-230VI		10	12000	$2,500:  2 indoor heads; $5,000:  >=3 indoor heads	204098429	HRCU-A-CB-O	Single Zone Sophia Series Mini Floor Consol	20.5	12000	1.83	71
DAY & NIGHT	DLCSRAH12AAK	DLFSHBH12XAK		10	12000	$2,500:  2 indoor heads; $5,000:  >=3 indoor heads	206396089	HRCU-A-CB-O	Constant Comfort	21	12000	1.89	172
CARRIER	38MAQB09R--3	40MAHBQ09XA3		10	12000	$2,500:  2 indoor heads; $5,000:  >=3 indoor heads	206396030	HRCU-A-CB-O	Performance	23	9000	1.98	90
ELIOS	DE12HOS23230E2	DM12HIFU230E5		10	12000	$2,500:  2 indoor heads; $5,000:  >=3 indoor heads	205782170	HRCU-A-CB-O		20.5	12000	1.83	71
BRYANT	38MAQB09R--3	619AHBQ09XA3		10	12000	$2,500:  2 indoor heads; $5,000:  >=3 indoor heads	206396037	HRCU-A-CB-O	Preferred	23	9000	1.98	90
KEEPRITE	DLCSRAH12AAK	DLFSHBH12XAK		10	12000	$2,500:  2 indoor heads; $5,000:  >=3 indoor heads	206396109	HRCU-A-CB-O	ProComfort	21	12000	1.89	172
COMFORTMAKER	DLCSRAH12AAK	DLFSHBH12XAK		10	12000	$2,500:  2 indoor heads; $5,000:  >=3 indoor heads	206396079	HRCU-A-CB-O	QuietComfort	21	12000	1.89	172
CONCERTO	MOB30-12HFN1-MV0W	MSVPC-12HRFN1-MU0W		10	12000	$2,500:  2 indoor heads; $5,000:  >=3 indoor heads	9008899	HRCU-A-CB-O		23.5	12000	1.81	100
KENMORE	DLCSRAH12AAK	DLFSHBH12XAK		10	12000	$2,500:  2 indoor heads; $5,000:  >=3 indoor heads	206396119	HRCU-A-CB-O	Mid-Tier	21	12000	1.89	172
LENNOX	MPB012S4S-1P	MFMA012S4-1P		10	12000	$2,500:  2 indoor heads; $5,000:  >=3 indoor heads	206188242	HRCU-A-CB-O		20.5	12000	1.83	71
TEMPSTAR	DLCSRAH12AAK	DLFSHBH12XAK		10	12000	$2,500:  2 indoor heads; $5,000:  >=3 indoor heads	206396139	HRCU-A-CB-O	QuietComfort	21	12000	1.89	172
MDV	MOB30-12HFN1-MT0W	CFAU-12HRFN1-M(C)		10	12000	$2,500:  2 indoor heads; $5,000:  >=3 indoor heads	8739929	HRCU-A-CB-O		20.5	12000	1.83	71
PAYNE	38MAQB09R--3	DHMAHBQ09XA3		10	12000	$2,500:  2 indoor heads; $5,000:  >=3 indoor heads	206396044	HRCU-A-CB-O	Mid-Tier	23	9000	1.98	90
MOOVAIR	DM12HOS23230E2	DM12HIFU230E5		10	12000	$2,500:  2 indoor heads; $5,000:  >=3 indoor heads	205782168	HRCU-A-CB-O		20.5	12000	1.83	71
WEATHERMAKER	38MAQB09R--3	DHMAHBQ09XA3		10	12000	$2,500:  2 indoor heads; $5,000:  >=3 indoor heads	206396058	HRCU-A-CB-O	Mid-Tier	23	9000	1.98	90
HEIL	DLCSRAH12AAK	DLFSHBH12XAK		10	12000	$2,500:  2 indoor heads; $5,000:  >=3 indoor heads	206396099	HRCU-A-CB-O	QuietComfort	21	12000	1.89	172
MIDEA	38MAQB09R--3	DHMAHBQ09XA3		10	12000	$2,500:  2 indoor heads; $5,000:  >=3 indoor heads	206396051	HRCU-A-CB-O	Excel	23	9000	1.98	90
ARCOAIRE	DLCSRAH12AAK	DLFSHBH12XAK		10	12000	$2,500:  2 indoor heads; $5,000:  >=3 indoor heads	206396069	HRCU-A-CB-O	DuraComfort	21	12000	1.89	172
AMERICAN STANDARD / MITSUBISHI ELECTRIC	NAXSKH12A112AA	NAXCKS12A112AA		10	13800	$2,500:  2 indoor heads; $5,000:  >=3 indoor heads	204793326	HRCU-A-CB-O	Nv Series Pro Heat	20.3	12000	1.84	100
MITSUBISHI ELECTRIC	SUZ-KA12NAHZ	SLZ-KF12NA		10	13800	$2,500:  2 indoor heads; $5,000:  >=3 indoor heads	204627032	HRCU-A-CB-O	M-Series H2i	20.3	12000	1.84	100
TRANE / MITSUBISHI ELECTRIC	NTXSKH12A112AA	NTXCKS12A112AA		10	13800	$2,500:  2 indoor heads; $5,000:  >=3 indoor heads	204793343	HRCU-A-CB-O	Nv Series Pro Heat	20.3	12000	1.84	100
MITSUBISHI ELECTRIC	SUZ-KA12NAHZ	NAXCKS12A112AA		10	13800	$2,500:  2 indoor heads; $5,000:  >=3 indoor heads	206328116	HRCU-A-CB-O	M-Series H2i	20.3	12000	1.84	100
MITSUBISHI ELECTRIC	SUZ-KA12NAHZ	NTXCKS12A112AA		10	13800	$2,500:  2 indoor heads; $5,000:  >=3 indoor heads	206328096	HRCU-A-CB-O	M-Series H2i	20.3	12000	1.84	100
SAMSUNG	AR12KSWSPWKX	AR12KSWSPWKN		10	14000	$2,500:  2 indoor heads; $5,000:  >=3 indoor heads	9035284	HRCU-A-CB-O	Max Heat RAC Series	21.5	12000	1.85	101
DAIKIN	DZ17VSA181B*	CA*EA1818*4A* 	 D*96SC0603BUA*	10	17000	$5,000	207172951	HRCU-A-CB	Daikin Fit	18	17100	2.19	75
DAIKIN	DZ17VSA181B*	CA*EA1818*4A* 	 D*80SC0604BUA*	10	17000	$5,000	207172950	HRCU-A-CB	Daikin Fit	18	17100	2.19	75
DAIKIN	DZ17VSA181A*	CA*EA1818*4A*	D*96VC0603BNA*	10	17100	$5,000	204875609	HRCU-A-CB		18	17100	2.19	74
DAIKIN	DZ17VSA181A*	CA*EA1818*4A* 	D*96VC0403BNA*	10	17100	$5,000	204875606	HRCU-A-CB		18	17100	2.19	74
DAIKIN	DZ17VSA181A*	CA*EA1818*4A* 	D*96VC0804CNA*	10	17100	$5,000	204875615	HRCU-A-CB		18	17100	2.19	74
DAIKIN	DZ17VSA181A*	CA*EA1818*4A*	D*97MC0603BNA*	10	17100	$5,000	204875618	HRCU-A-CB		18	17100	2.19	74
DAIKIN	DZ17VSA181A*	CA*EA1818*4A*	D*97MC0803BNA*	10	17100	$5,000	204875621	HRCU-A-CB		18	17100	2.19	74
DAIKIN	DZ17VSA181A*	CA*EA1818*4A*	D*97MC0804CNA*	10	17100	$5,000	204875624	HRCU-A-CB		18	17100	2.19	74
DAIKIN	DZ17VSA181A*	CA*EA1818*4A* 	D*80VC0603B*A*	10	17100	$5,000	204875627	HRCU-A-CB		18	17100	2.19	74
DAIKIN	DZ17VSA181A*	CA*EA1818*4A*	DM80VC0604B*A*	10	17100	$5,000	204875630	HRCU-A-CB		18	17100	2.19	74
DAIKIN	DZ17VSA181A*	CA*EA1818*4A* 	D*80VC0803B*A*	10	17100	$5,000	204875633	HRCU-A-CB		18	17100	2.19	74
DAIKIN	DZ17VSA181A*	CA*EA1818*4A* 	DM80VC0804C*A*	10	17100	$5,000	204875636	HRCU-A-CB		18	17100	2.19	74
DAIKIN	DZ17VSA181A*	CA*EA1818*4A*+MBVC1600**-1A*		10	17100	$5,000	204875642	HRCU-A-CB		18	17100	2.19	74
DAIKIN	DZ17VSA181B*	DV24FECB14A*		10	17100	$5,000	207168336	HRCU-A-CB	Daikin Fit	18	17100	2.22	75
DAIKIN	DZ17VSA181B*	CA*EA1818*4A* 	 D*96VC0403BNA*	10	17100	$5,000	207172937	HRCU-A-CB	Daikin Fit	18	17100	2.19	74
DAIKIN	DZ17VSA181B*	CA*EA1818*4A* 	 D*96VC0603BNA*	10	17100	$5,000	207172938	HRCU-A-CB	Daikin Fit	18	17100	2.19	74
DAIKIN	DZ17VSA181B*	CA*EA1818*4A* 	 DM96VC0803BNA*	10	17100	$5,000	207172939	HRCU-A-CB	Daikin Fit	18	17100	2.19	74
DAIKIN	DZ17VSA181B*	CA*EA1818*4A* 	 D*96VC0804CNA*	10	17100	$5,000	207172940	HRCU-A-CB	Daikin Fit	18	17100	2.19	74
DAIKIN	DZ17VSA181B*	CA*EA1818*4A* 	 D*97MC0603BNA*	10	17100	$5,000	207172941	HRCU-A-CB	Daikin Fit	18	17100	2.19	74
DAIKIN	DZ17VSA181B*	CA*EA1818*4A* 	 D*97MC0803BNA*	10	17100	$5,000	207172942	HRCU-A-CB	Daikin Fit	18	17100	2.19	74
DAIKIN	DZ17VSA181B*	CA*EA1818*4A* 	 D*97MC0804CNA*	10	17100	$5,000	207172943	HRCU-A-CB	Daikin Fit	18	17100	2.19	74
DAIKIN	DZ17VSA181B*	CA*EA1818*4A* 	 D*80VC0603B*A*	10	17100	$5,000	207172944	HRCU-A-CB	Daikin Fit	18	17100	2.19	74
DAIKIN	DZ17VSA181B*	CA*EA1818*4A* 	 DM80VC0604B*A*	10	17100	$5,000	207172945	HRCU-A-CB	Daikin Fit	18	17100	2.19	74
DAIKIN	DZ17VSA181B*	CA*EA1818*4A* 	 D*80VC0803B*A*	10	17100	$5,000	207172946	HRCU-A-CB	Daikin Fit	18	17100	2.19	74
DAIKIN	DZ17VSA181B*	CA*EA1818*4A* 	 DM80VC0804C*A*	10	17100	$5,000	207172947	HRCU-A-CB	Daikin Fit	18	17100	2.19	74
DAIKIN	DZ17VSA181B*	 CA*EA1818*4A*+MBVC1200**-1A* 		10	17100	$5,000	207172948	HRCU-A-CB	Daikin Fit	18	17100	2.19	74
DAIKIN	DZ17VSA181B*	CA*EA1818*4A*+MBVC1600**-1A* 		10	17100	$5,000	207172949	HRCU-A-CB	Daikin Fit	18	17100	2.19	74
DAIKIN	DZ17VSA181A*	DV24FECB14A*		10	17100	$5,000	204875381	HRCU-A-CB		18	17100	2.22	75
DAIKIN	DZ17VSA181A*	CA*EA1818*4A*	DM96VC0803BNA*	10	17100	$5,000	204875612	HRCU-A-CB		18	17100	2.19	74
AMERICAN STANDARD	4A6V0X24A1	4PX*BU36BS3	*DHMB060BCV3	10	18000	$5,000	207590219	HRCU-A-CB		17.5	22800	1.93	70
AMERICAN STANDARD	4A6V0024A1	4PX*BU36BS3	*DHMB060BCV3	10	18000	$5,000	202366079	HRCU-A-CB		17.5	22800	1.93	70
TRANE	4TWV0X24A1	4PX*BU36BS3	*DHMB060BCV3	10	18000	$5,000	207526505	HRCU-A-CB		17.5	22800	1.93	70
TRANE	4TWV0024A1	4PX*BU36BS3	*DHMB060BCV3	10	18000	$5,000	202365939	HRCU-A-CB		17.5	22800	1.93	70
MITSUBISHI ELECTRIC	MUZ-HM18NA***	NTXWMT18A112A*		10	18000	$2,500:  2 indoor heads; $5,000:  >=3 indoor heads	204629189	HRCU-A-CB-O	M-Series	18	17200	2.12	71
MITSUBISHI ELECTRIC	MUZ-HM18NA***	NAXWMT18A112A*		10	18000	$2,500:  2 indoor heads; $5,000:  >=3 indoor heads	204629229	HRCU-A-CB-O	M-Series	18	17200	2.12	71
MITSUBISHI ELECTRIC	NTXSMT18A112A*	MSZ-HM18NA***		10	18000	$2,500:  2 indoor heads; $5,000:  >=3 indoor heads	204629276	HRCU-A-CB-O	Nv Series	18	17200	2.12	71
MITSUBISHI ELECTRIC	NAXSMT18A112A*	MSZ-HM18NA***		10	18000	$2,500:  2 indoor heads; $5,000:  >=3 indoor heads	204629363	HRCU-A-CB-O	Nv Series	18	17200	2.12	71
HISENSE	AUW-18U3SF	ACT-18UR3SGB		10	18000	$2,500:  2 indoor heads; $5,000:  >=3 indoor heads	205013613	HRCU-A-CB-O		20	18000	2.3	81
MITSUBISHI ELECTRIC	MUZ-HM18NA-U1	MSZ-HM18NA-U1		10	18000	$2,500:  2 indoor heads; $5,000:  >=3 indoor heads	201754436	HRCU-A-CB-O	M-Series	18	17200	2.12	71
TRANE / MITSUBISHI ELECTRIC	NTXSMT18A112AA	NTXWMT18A112AA		10	18000	$2,500:  2 indoor heads; $5,000:  >=3 indoor heads	202373740	HRCU-A-CB-O	M-Series	18	17200	2.12	71
MITSUBISHI ELECTRIC	MUZ-HM18NA***	MSZ-HM18NA***		10	18000	$2,500:  2 indoor heads; $5,000:  >=3 indoor heads	202680603	HRCU-A-CB-O	M-Series	18	17200	2.12	71
FRIEDRICH	FPHFR18A3A	FPHFC18A3B		10	18000	$2,500:  2 indoor heads; $5,000:  >=3 indoor heads	205104719	HRCU-A-CB-O	Floating Air Pro	20	18000	2.3	81
AMERICAN STANDARD / MITSUBISHI ELECTRIC	NAXSMT18A112AA	NAXWMT18A112AA		10	18000	$2,500:  2 indoor heads; $5,000:  >=3 indoor heads	202373700	HRCU-A-CB-O	M-Series	18	17200	2.12	71
HAXXAIR	HVHSC-18T2D	HAHS-18T2D		10	18000	$2,500:  2 indoor heads; $5,000:  >=3 indoor heads	205921368	HRCU-A-CB		19.5	18000	2.05	80
BRYANT	38MARBQ18AA3	CNPV*2414AL*	912SD30040E14***	10	18300	$5,000	207202342	HRCU-A-CB	Preferred	17	17500	2	74
CARRIER	38MARBQ18AA3	CNPV*2417AL*	59SC2D040E14**10	10	18300	$5,000	207202231	HRCU-A-CB	Performance	17	17500	2	74
CARRIER	38MARBQ18AA3	CNPV*2414AL*	59SC2D040E14**10	10	18300	$5,000	207202230	HRCU-A-CB	Performance	17	17500	2	74
BRYANT	38MARBQ18AA3	CNPV*2417AL*	912SD30040E14***	10	18300	$5,000	207202343	HRCU-A-CB	Preferred	17	17500	2	74
CARRIER	38MARBQ18AA3	CNPV*1814AL*	59SC2D040E14**10	10	18500	$5,000	207202229	HRCU-A-CB	Performance	16.5	17300	2	74
BRYANT	38MARBQ18AA3	CNPV*1814AL*	912SD30040E14***	10	18500	$5,000	207202341	HRCU-A-CB	Preferred	16.5	17300	2	74
MIDEA	38MGRQ18B--3			10	18500	$2,500:  2 indoor heads; $5,000:  >=3 indoor heads	201847071	HMSV-A-CB	Excel	18.5	18000	2.1	77
CARRIER	38MGRQ18B--3			10	18500	$2,500:  2 indoor heads; $5,000:  >=3 indoor heads	202345965	HMSV-A-CB	Performance	18.5	18000	2.1	77
PAYNE	38MGRQ18B--3			10	18500	$2,500:  2 indoor heads; $5,000:  >=3 indoor heads	201847066	HMSV-A-CB	Mid-tier	18.5	18000	2.1	77
BRYANT	38MGRQ18B--3			10	18500	$2,500:  2 indoor heads; $5,000:  >=3 indoor heads	202345970	HMSV-A-CB	Preferred	18.5	18000	2.1	77
AMERICAN STANDARD	4A6V0X24A1	4PX*BU36BS3	S9V2B040U3VSA+RP	10	18600	$5,000	207590118	HRCU-A-CB		19	24200	1.97	70
AMERICAN STANDARD	4A6V0X24A1	4TXCB004DS3	S9V2B040U3VSA+RP	10	18600	$5,000	207590123	HRCU-A-CB		19	24200	1.97	70
AMERICAN STANDARD	4A6V8X24A1	4PX*BU36BS3	S9V2B040U3VSA+RP	10	18600	$5,000	207590166	HRCU-A-CB		18	24200	1.97	70
AMERICAN STANDARD	4A6V8X24A1	4TXCB004DS3	S9V2B040U3VSA+RP	10	18600	$5,000	207590169	HRCU-A-CB		18	24200	1.97	70
BRYANT	38MAQB18R--3	FV4CNF002		10	18600	$5,000	204344195	HRCU-A-CB	Preferred Series	18	17800	3.02	85
AMERICAN STANDARD	4A6V0024A1	4PX*BU36BS3	S9V2B040U3PSB+RP	10	18600	$5,000	10510858	HRCU-A-CB		18.75	24000	1.97	70
AMERICAN STANDARD	4A6V0024A1	4TXCB004DS3	S9V2B040U3PSB+RP	10	18600	$5,000	10510866	HRCU-A-CB		18.75	24000	1.97	70
AMERICAN STANDARD	4A6V8024A1	4PX*BU36BS3	S9V2B040U3PSB+RP	10	18600	$5,000	10510949	HRCU-A-CB		18	24000	1.97	70
AMERICAN STANDARD	4A6V8024A1	4TXCB004DS3	S9V2B040U3PSB+RP	10	18600	$5,000	10510955	HRCU-A-CB		18	24000	1.97	70
AMERICAN STANDARD	4A6V0024A1	4PX*BU36BS3	S9V2B040U3VSA+RP	10	18600	$5,000	201800511	HRCU-A-CB		19	24200	1.97	70
AMERICAN STANDARD	4A6V0024A1	4TXCB004DS3	S9V2B040U3VSA+RP	10	18600	$5,000	201800553	HRCU-A-CB		19	24200	1.97	70
AMERICAN STANDARD	4A6V8024A1	4PX*BU36BS3	S9V2B040U3VSA+RP	10	18600	$5,000	201800879	HRCU-A-CB		18	24200	1.97	70
AMERICAN STANDARD	4A6V8024A1	4TXCB004DS3	S9V2B040U3VSA+RP	10	18600	$5,000	201800898	HRCU-A-CB		18	24200	1.97	70
AMERICAN STANDARD	4A6V0X24A1	4PX*BU36BS3	S9V2B040U3PSB+RP	10	18600	$5,000	207590082	HRCU-A-CB		18.75	24000	1.97	70
AMERICAN STANDARD	4A6V0X24A1	4TXCB004DS3	S9V2B040U3PSB+RP	10	18600	$5,000	207590086	HRCU-A-CB		18.75	24000	1.97	70
AMERICAN STANDARD	4A6V8X24A1	4PX*BU36BS3	S9V2B040U3PSB+RP	10	18600	$5,000	207590106	HRCU-A-CB		18	24000	1.97	70
AMERICAN STANDARD	4A6V8X24A1	4TXCB004DS3	S9V2B040U3PSB+RP	10	18600	$5,000	207590109	HRCU-A-CB		18	24000	1.97	70
CARRIER	38MAQB18R--3	FV4CNF002		10	18600	$5,000	204344190	HRCU-A-CB	Performance Series	18	17800	3.02	85
TRANE	4TWV8024A1	4PX*BU36BS3	S9V2B040U3PSB+RP	10	18600	$5,000	10511247	HRCU-A-CB		18	24000	1.97	70
TRANE	4TWV8024A1	4TXCB004DS3	S9V2B040U3PSB+RP	10	18600	$5,000	10511253	HRCU-A-CB		18	24000	1.97	70
PAYNE	38MAQB18R--3	FV4CNF002		10	18600	$5,000	204344200	HRCU-A-CB	Mid-tier	18	17800	3.02	85
TRANE	4TWV0024A1	4PX*BU36BS3	S9V2B040U3VSA+RP	10	18600	$5,000	201808652	HRCU-A-CB		19	24200	1.97	70
TRANE	4TWV0024A1	4TXCB004DS3	S9V2B040U3VSA+RP	10	18600	$5,000	201808672	HRCU-A-CB		19	24200	1.97	70
TRANE	4TWV8024A1	4PX*BU36BS3	S9V2B040U3VSA+RP	10	18600	$5,000	201808804	HRCU-A-CB		18	24200	1.97	70
TRANE	4TWV8024A1	4TXCB004DS3	S9V2B040U3VSA+RP	10	18600	$5,000	201808812	HRCU-A-CB		18	24200	1.97	70
TRANE	4TWV0X24A1	4PX*BU36BS3	S9V2B040U3PSB+RP	10	18600	$5,000	207526368	HRCU-A-CB		18.75	24000	1.97	70
TRANE	4TWV0X24A1	4TXCB004DS3	S9V2B040U3PSB+RP	10	18600	$5,000	207526372	HRCU-A-CB		18.75	24000	1.97	70
TRANE	4TWV8X24A1	4PX*BU36BS3	S9V2B040U3PSB+RP	10	18600	$5,000	207526392	HRCU-A-CB		18	24000	1.97	70
TRANE	4TWV8X24A1	4TXCB004DS3	S9V2B040U3PSB+RP	10	18600	$5,000	207526395	HRCU-A-CB		18	24000	1.97	70
TRANE	4TWV0X24A1	4PX*BU36BS3	S9V2B040U3VSA+RP	10	18600	$5,000	207526404	HRCU-A-CB		19	24200	1.97	70
TRANE	4TWV0X24A1	4TXCB004DS3	S9V2B040U3VSA+RP	10	18600	$5,000	207526409	HRCU-A-CB		19	24200	1.97	70
TRANE	4TWV8X24A1	4PX*BU36BS3	S9V2B040U3VSA+RP	10	18600	$5,000	207526452	HRCU-A-CB		18	24200	1.97	70
TRANE	4TWV8X24A1	4TXCB004DS3	S9V2B040U3VSA+RP	10	18600	$5,000	207526455	HRCU-A-CB		18	24200	1.97	70
TRANE	4TWV0024A1	4PX*BU36BS3	S9V2B040U3PSB+RP	10	18600	$5,000	10511156	HRCU-A-CB		18.75	24000	1.97	70
TRANE	4TWV0024A1	4TXCB004DS3	S9V2B040U3PSB+RP	10	18600	$5,000	10511164	HRCU-A-CB		18.75	24000	1.97	70
CARRIER	38MARBQ18AA3	CNPV*1814AL*	59TP6B060V14**12	10	18700	$5,000	207202284	HRCU-A-CB	Performance	17	17600	2	73
BRYANT	38MARBQ18AA3	CNPV*1814AL*	926TB36060V14***	10	18700	$5,000	207202396	HRCU-A-CB	Preferred	17	17600	2	73
CARRIER	38MARBQ18AA3	CNPV*1814AL*	59TP6B040V14**10	10	18900	$5,000	207202273	HRCU-A-CB	Performance	16.5	17700	2.01	73
BRYANT	38MARBQ18AA3	CNPV*1814AL*	915SB30026E14***	10	18900	$5,000	207202358	HRCU-A-CB	Preferred	17	17900	2.01	73
CARRIER	38MARBQ18AA3	CNPV*1814AL*	59SC5B026E14**10	10	18900	$5,000	207202246	HRCU-A-CB	Performance	17	17900	2.01	73
BRYANT	38MARBQ18AA3	CNPV*1814AL*	926TB30040V14***	10	18900	$5,000	207202385	HRCU-A-CB	Preferred	16.5	17700	2.01	73
TRANE	4TXK2718A10N0AA	4MXW2718A10N0AA		10	19000	$2,500:  2 indoor heads; $5,000:  >=3 indoor heads	7151535	HRCU-A-CB-O		21	18000	1.97	81
KINGHOME	KW18HTCA3DO	KW18HTCA3DI		10	19000	$2,500:  2 indoor heads; $5,000:  >=3 indoor heads	10338159	HRCU-A-CB-O		21	18000	1.97	81
AMERICAN STANDARD	4TXK2718A10N0AA	4MXW2718A10N0AA		10	19000	$2,500:  2 indoor heads; $5,000:  >=3 indoor heads	7151534	HRCU-A-CB-O		21	18000	1.97	81
SAMSUNG	AC018JXADCH/AA	AC018KNZDCH/AA		10	20000	$5,000	8950555	HRCU-A-CB	Multi-Position Air Handler	20.1	18000	1.95	70
SAMSUNG	AC018BXADCH	AC018KNZDCH		10	20000	$2,500:  2 indoor heads; $5,000:  >=3 indoor heads	207598067	HRCU-A-CB	Multi-Position Air Handler	19.2	18000	1.9	110
SAMSUNG	AC018JXADCH/AA	AC018NN4DCH/AA		10	20000	$2,500:  2 indoor heads; $5,000:  >=3 indoor heads	202087965	HRCU-A-CB-O	Wind-Free 4 Way Cassette	20.1	18000	1.95	70
LG	LUU180HHV	LDN187HV4		10	20000	$2,500:  2 indoor heads; $5,000:  >=3 indoor heads	205788766	HRCU-A-CB		18.8	18000	3.29	100
GE APPLIANCES	ASH118URDSE*	USYM18UCDSA*		10	20000	$2,500:  2 indoor heads; $5,000:  >=3 indoor heads	206842137	HMSV-A-CB-O		19	18000	1.8	95
HAIER	1U18EH2VHE*	USYM18UCDSA*		10	20000	$2,500:  2 indoor heads; $5,000:  >=3 indoor heads	206608651	HRCU-A-CB	ARCTIC Next Gen	19	18000	1.8	95
SAMSUNG	AC018JXADCH/AA	AC018KN4DCH/AA		10	20000	$2,500:  2 indoor heads; $5,000:  >=3 indoor heads	8856681	HRCU-A-CB-O	360 Cassette	20.1	18000	1.95	70
HAIER	1U18EH2VHA	AW18EH2VHA		10	20400	$2,500:  2 indoor heads; $5,000:  >=3 indoor heads	8862057	HRCU-A-CB-O	Arctic	20	19000	1.9	100
SAMSUNG	AR18NSWSPWKX	AR18NSWSPWKN		10	20600	$2,500:  2 indoor heads; $5,000:  >=3 indoor heads	201993481	HRCU-A-CB-O	Smart Whisper Max Heat	20	18000	2.11	102
SAMSUNG	AR18TSFACWKX	AR18TSFABWKN		10	20600	$2,500:  2 indoor heads; $5,000:  >=3 indoor heads	205132635	HRCU-A-CB-O	Max Heat 2.0	21	18000	2.31	107
SAMSUNG	AR18TSFABWKX	AR18TSFABWKN		10	20600	$2,500:  2 indoor heads; $5,000:  >=3 indoor heads	205132636	HRCU-A-CB-O	Wind-Free? 2.0	21	18000	1.83	84
SAMSUNG	AJ020MCS3CH			10	22000	$2,500:  2 indoor heads; $5,000:  >=3 indoor heads	10348192	HMSV-A-CB	FJM Max Heat	18	21000	1.95	100
LG	LMU180HHV			10	22000	$2,500:  2 indoor heads; $5,000:  >=3 indoor heads	10445372	HMSV-A-CB	DUCTLESS	21	18000	1.85	100
SAMSUNG	AJ020TXS3CH			10	22000	$2,500:  2 indoor heads; $5,000:  >=3 indoor heads	205291856	HMSV-A-CB	FJM Max Heat	18	21000	1.95	100
SAMSUNG	AJ020BXS3CH			10	22000	$2,500:  2 indoor heads; $5,000:  >=3 indoor heads	207349917	HMSV-A-CB	FJM Max Heat	18	21000	1.95	100
DAIKIN	DZ17VSA301B*	DV35FECC14A*		10	22800	$5,000	207599994	HRCU-A-CB		18	25000	2.04	72
SUPREME CENTRAL	SUPRM24CC	AHAN2410		10	23000	$5,000	206799641	HRCU-A-CB		19	23400	2.17	70
MAXI AIR CENTRAL	CLASS24CC	AHAN3615		10	23000	$5,000	206799639	HRCU-A-CB		19	23400	2.17	70
SUPREME CENTRAL	SUPRM24CC	AHAN3615		10	23000	$5,000	206799642	HRCU-A-CB		19	23400	2.17	70
MAXI AIR CENTRAL	CLASS24CC	AHAN2410		10	23000	$5,000	206799638	HRCU-A-CB		19	23400	2.17	70
